id,searchQuery,searchClicks,contentType
42,gizmo,13440,a
66,airpods,12647,a
175,gear4,12452,a
61,apple airpods,6341,a
105,sim card,5853,a
90,jetpack,5266,a
138,hot spot,4750,a
140,screen protector,4011,a
112,network extender,2719,a
432,cases,2310,a
275,jet pack,2302,a
188,wireless charger,1965,a
277,iphone xr case,1964,a
245,headphones,1899,a
190,apple pencil,1724,a
304,beats,1700,a
262,airpod,1625,a
312,iphone xr cases,1624,a
216,fitbit,1579,a
343,esim,1570,a
293,hum,1521,a
311,sim,1491,a
194,bluetooth headset,1354,a
478,macbook,1256,a
384,laptop,1216,a
766,zagg,1155,a
230,verizon jetpack,1148,a
330,home phone,1129,a
399,charger,1094,a
731,otterbox,1062,a
285,moto mods,1028,a
499,phone case,1006,a
347,galaxy buds,967,a
332,arlo,930,a
427,mophie,881,a
404,bose,863,a
484,earbuds,861,a
657,ipod,852,a
542,ear buds,831,a
498,iphone charger,829,a
421,jbl,816,a
943,case,808,a
328,ellipsis jetpack,789,a
318,canary flex,772,a
623,kate spade,765,a
551,iphone xs max case,748,a
861,apple watch bands,731,a
379,apple tv,711,a
474,bluetooth,689,a
675,lifeproof,688,a
643,chargers,687,a
487,samsung a10e,677,a
773,apple watch band,662,a
428,gizmopal,654,a
652,iphone 11 screen protector,638,a
441,gizmogadget,614,a
827,pop socket,614,a
482,extender,599,a
795,student discount,554,a
536,sonim,535,a
947,battery,531,a
761,iphone x case,519,a
575,ue,509,a
670,iphone 7 case,501,a
583,nest,485,a
640,iphone 8 plus case,480,a
678,iphone 8 case,472,a
848,ear pods,465,a
433,bluetooth speaker,461,a
790,hotspots,453,a
636,keyboard,451,a
791,camera,450,a
585,new sim card,436,a
819,11 pro max case,433,a
691,garmin,417,a
402,fitbit versa,412,a
637,xr cases,410,a
779,iphone xs max cases,406,a
1091,watch bands,406,a
709,air pod,395,a
507,qi wireless charging,387,a
650,moto mod,384,a
774,xr case,384,a
944,apple pen,384,a
676,orbic,383,a
820,iphone 7 cases,367,a
849,iphone pro max case,366,a
948,one talk,361,a
976,wireless headphones,361,a
784,hot spots,355,a
952,popsocket,350,a
830,s pen,343,a
821,iphone 8 cases,342,a
656,giz,336,a
811,note 10 case,326,a
735,gizmo watch band,319,a
1495,apple watch plan,319,a
879,gizmo charger,317,a
857,gizmo band,309,a
684,note 10+ case,308,a
945,chromebook,308,a
639,note 10 plus case,304,a
970,wireless earbuds,287,a
648,wireless hotspot,286,a
1318,watch band,285,a
1131,apple watch charger,276,a
935,iphone 8 plus cases,274,a
772,drone,259,a
877,moto g7 power,257,a
844,gopro,255,a
938,headset,246,a
1117,tracker,246,a
853,pro max case,242,a
833,t2000,235,a
950,powerbeats,223,a
925,moto z4 case,204,a
803,mophie juice pack,199,a
1866,apple watch screen protector,192,a
973,fitbit versa 2,183,a
743,mophie powerstation,177,a
1207,fit bit,173,a
1196,gizmo watch bands,168,a
1389,gizmo watch charger,166,a
1691,gps tracker,135,a
1558,fitbit charge 3,71,a
2,iphone,69707,d
3,iphone 11,61671,d
8,iphone xr,48883,d
13,iphone x,33882,d
16,iphone 8,27397,d
11,iphone 11 pro max,24977,d
18,iphone 7,23230,d
14,apple iphone 11 pro max,22035,d
17,apple iphone 11,20887,d
35,ipad,19084,d
19,iphone 11 pro,18940,d
24,iphone xs max,18365,d
25,iphone 8 plus,18257,d
36,iphone xs,15252,d
33,samsung galaxy s10,12946,d
40,apple iphone 11 pro,11487,d
39,iphone 7 plus,10840,d
64,samsung,10277,d
72,xr,9451,d
73,iphones,8809,d
76,note 10,6565,d
128,iphone 10,5858,d
144,apple,5661,d
143,iphone 6,5354,d
89,flip phones,5149,d
94,samsung galaxy note 10,4724,d
86,google pixel 3,4661,d
96,samsung galaxy note 10+,4640,d
102,iphone 6s,4605,d
68,samsung galaxy  s10 plus,4431,d
154,xs max,3472,d
152,ipad pro,3393,d
182,flip phone,3334,d
161,tablets,3326,d
156,s10,3248,d
167,i phone,3057,d
120,motorola,3038,d
254,galaxy,2960,d
200,11,2727,d
197,i phone 11,2682,d
122,iphone 6s plus,2664,d
229,tablet,2659,d
218,pixel,2558,d
314,iphone se,2523,d
217,lg,2520,d
267,note 9,2503,d
169,note,2500,d
134,samsung galaxy s9,2456,d
179,a50,2437,d
242,xs,2437,d
192,11 pro max,2377,d
368,phones,2324,d
131,samsung galaxy note 9,2268,d
210,iphone11,2179,d
268,google pixel,2114,d
133,samsung galaxy s10e,1990,d
221,pro max,1971,d
201,palm,1965,d
279,blackberry,1924,d
181,basic phones,1878,d
296,s9,1814,d
145,samsung galaxy a50,1785,d
248,kids phone,1779,d
241,moto,1766,d
168,one plus,1736,d
288,11 pro,1733,d
251,s10e,1731,d
165,google pixel 3a,1728,d
269,ipad mini,1690,d
325,i phone x,1678,d
244,moto z4,1656,d
151,google pixel 3 xl,1655,d
303,i phone 8,1628,d
257,a10e,1625,d
150,ipad pro 12.9 inch,1618,d
256,flip,1613,d
227,kyocera,1593,d
319,samsung galaxy,1589,d
372,galaxy s10,1579,d
236,refurbished phones,1527,d
335,ipads,1469,d
323,samsung galaxy s8,1468,d
299,i phone xr,1447,d
170,google pixel 3a xl,1382,d
326,8 plus,1362,d
295,pixel 3,1344,d
309,iphone pro max,1340,d
292,apple iphone,1324,d
417,iphone x max,1324,d
206,samsung galaxy s9 plus,1270,d
341,galaxy s9,1251,d
322,i phone 7,1246,d
397,google,1204,d
290,android phones,1191,d
438,iphone 6 plus,1177,d
315,iphone7,1163,d
191,ipad pro 11 inch,1161,d
331,moto g7,1150,d
327,galaxy note 10,1097,d
390,iphone8,1089,d
401,samsung fold,1088,d
348,samsung a50,1076,d
620,free phones,1065,d
363,a20,1060,d
426,iphone 8plus,1055,d
504,note 8,1046,d
993,iphone 5,1012,d
580,galaxy s8,990,d
366,galaxy note,981,d
353,note 10 plus,977,d
388,iphone pro,970,d
252,samsung galaxy s10 plus,954,d
300,jitterbug,948,d
346,note 10+,930,d
560,iphone 9,926,d
494,samsung s9,898,d
416,iphone 7plus,891,d
804,x,887,d
425,ipad air,833,d
797,s8,815,d
485,nokia,808,d
824,free phone,792,d
437,alcatel,791,d
469,i phone 8 plus,788,d
284,ipad 10.2 inch,784,d
357,moto z3,777,d
470,7 plus,770,d
544,i pad,766,d
528,i phones,743,d
472,samsung s10,735,d
750,samsung s8,710,d
479,samsung note,701,d
458,samsung note 10,697,d
446,s10+,687,d
985,android,681,d
554,iphone 8+,674,d
611,iphone 11 pro mac,674,d
420,google pixel 2 xl,666,d
361,samsung galaxy tab a,650,d
537,i phone 11 pro,642,d
461,samsung tablet,640,d
570,pixel 3a,634,d
389,moto g6,615,d
476,note10,612,d
520,iphonexr,609,d
649,iphone xr max,595,d
505,moto z,589,d
759,i phone 10,584,d
518,galaxy a50,581,d
356,kyocera duraxv,565,d
465,smartphone,561,d
351,samsung galaxy j7 v,556,d
613,tab s6,548,d
511,lg phones,538,d
516,i phone 7 plus,534,d
513,iphon,530,d
