"_lw_parser_record_number",keys,values,description,_lw_parser_content_type,_lw_parser_id,type,enabled,matching,display_type,search_terms,_lw_parser_parsing_depth,_lw_parser_absolute_resource_name,createdAt,effective_range,ruleName,param_keys,id,updatedAt,_lw_parser_type,_lw_parser_max_parsing_depth,groups,param_values,field_name,_lw_parser_resource_name,_lw_parser_diagnostic_id,param_policies,field_values
0,banner,"{""sort_options"": [{""label"": ""Customer Rating""\,""property"": [{""sortKey"": ""rating""\,""sortValue"": ""averageRating""}]\,""order"": ""asc""\,""sortId"": ""rating""      }\,      {""label"": ""Price Low-High""\,""property"": [{""sortKey"": "".edge-monthly-price""\,""sortValue"": ""productPriceInfo.edgeContractInfo.discountedPrice""}\,{""sortKey"": "".full-retail-price""\,""sortValue"": ""productPriceInfo.fullRetailContractInfo.discountedPrice""}\,{""sortKey"": "".prepaid-price""\,""sortValue"": ""productPriceInfo.prePayContractInfo.discountedPrice""}\,{""sortKey"": "".two-year-price""\,""sortValue"": ""productPriceInfo.twoYearContractInfo.discountedPrice""}\,{""sortKey"": "".accessory-full-retail-price""\,""sortValue"": ""productPriceInfo.fullRetailContractInfo.discountedPrice""}]\,""order"": ""asc""\,""sortId"": ""price_asc""      }\,      {""label"": ""Newest""\,""property"": [{""sortKey"": ""newest""\,""sortValue"": ""startDate""}]\,""order"": ""desc""\,""sortId"": ""newest""      }\,      {""label"": ""Best Sellers""\,""property"": [{""sortKey"": ""bestseller""\,""sortValue"": ""unitsSold7""}]\,""order"": ""desc""\,""sortId"": ""bestseller""      }\,      {""label"": ""Featured""\,""property"": [{""sortKey"": ""featured""\,""sortValue"": ""defaultRank""}]\,""order"": ""asc""\,""sortId"": ""featured""      }\,      {""label"": ""Price High-Low""\,""property"": [{""sortKey"": "".edge-monthly-price""\,""sortValue"": ""productPriceInfo.edgeContractInfo.discountedPrice""}\,{""sortKey"": "".full-retail-price""\,""sortValue"": ""productPriceInfo.fullRetailContractInfo.discountedPrice""}\,{""sortKey"": "".prepaid-price""\,""sortValue"": ""productPriceInfo.prePayContractInfo.discountedPrice""}\,{""sortKey"": "".two-year-price""\,""sortValue"": ""productPriceInfo.twoYearContractInfo.discountedPrice""}\,{""sortKey"": "".accessory-full-retail-price""\,""sortValue"": ""productPriceInfo.fullRetailContractInfo.discountedPrice""}]\,""order"": ""desc""\,""sortId"": ""price_desc""      }    ]  }",CONFIG: Blanket Rule Config for All the Grid walls - Sort Options,application/json,4c89cc1f-80b2-4277-8ce9-3c210a676f61,response_value,true,keywords,Banner,*,1,"null\,unknown#0",2019-02-12T20:51:33.340Z,,Dev-sort_options,,29d61d45-ad0c-468b-9a51-f2cd0e40e100,2019-04-15T19:01:53.700Z,json,16,rules-global,,,unknown,925ca68f-a4bc-4bca-9b72-eb3047db1155,,
0,banner,"{ ""payment_options"":[{""id"": "".edge-monthly-price""\,""payment_option_id"": ""monthly""\,""name"": ""Monthly Payment"" }\,{ ""id"": "".two-year-price""\, ""payment_option_id"": ""twoyear""\, ""name"": ""2-Year Contract"" }\,{""id"": "".full-retail-price""\,""payment_option_id"": ""retail""\,""name"": ""Retail Price"" }\, {""id"": "".prepaid-price""\,""payment_option_id"": ""prepaid""\,""name"": ""Prepaid Price"" }] }",CONFIG: Payment Options for Tablets GW,application/json,4c89cc1f-80b2-4277-8ce9-3c210a676f61,response_value,true,keywords,Banner,tablets/,1,"null\,unknown#0",2019-02-12T21:19:38.680Z,,Dev-payment_options,,1ee961c5-229e-41a3-9f7c-8257f9cbf2af,2019-04-16T20:16:47.760Z,json,16,rules-global,,,unknown,5de5fbd8-d30c-4ca6-9bd2-6b74152802b1,,
0,banner,"{""payment_options"":[{""id"": "".edge-monthly-price""\,""payment_option_id"": ""monthly""\,""name"": ""Monthly Payment"" }\, {""id"": "".full-retail-price""\,""payment_option_id"": ""retail""\,""name"": ""Retail Price"" }\, {""id"": "".prepaid-price""\,""payment_option_id"": ""prepaid""\,""name"": ""Prepaid Price"" }] }",CONFIG: Smartphones Payment Options,application/json,876154d9-f821-4d76-b481-ed8bf7c38c6f,response_value,true,keywords,Banner,smartphones/,1,"null\,unknown#0",2019-02-12T21:21:18.150Z,,Dev-payment_options,,e2d9ff1e-8273-415f-8159-22edfa82c05d,2019-08-26T19:16:56.830Z,json,16,rules-global,,,unknown,abbbd5ac-8a4e-4767-98a1-2a1962b90837,,
0,banner,"{   ""page_config"": {     ""show_oos"": ""true""\,    ""page_title"":""All Tablets""\, ""default_sort"": ""featured""\,     ""default_payment_option"": ""twoyear""   } }",CONFIG: Tablets Page Config,application/json,4c89cc1f-80b2-4277-8ce9-3c210a676f61,response_value,true,keywords,Banner,tablets/,1,"null\,unknown#0",2019-02-12T21:38:53.080Z,,Dev-page_config,,55eca7ac-640d-4163-bd85-154b65e04dea,2019-04-15T14:51:35.210Z,json,16,rules-global,,,unknown,db37d51d-ed30-4e13-a582-e77f8e73d0d0,,
0,banner,"{ ""payment_options"":[ { ""id"": "".edge-monthly-price""\, ""payment_option_id"": ""monthly""\, ""name"": ""Monthly Payment"" }\, { ""id"": "".full-retail-price""\, ""payment_option_id"": ""retail""\, ""name"": ""Retail Price"" }\, { ""id"": "".prepaid-price""\, ""payment_option_id"": ""prepaid""\, ""name"": ""Prepaid Price"" }]}",CONFIG: Basicphones Payment Options,application/json,876154d9-f821-4d76-b481-ed8bf7c38c6f,response_value,true,keywords,Banner,basic-phones/,1,"null\,unknown#0",2019-02-15T16:11:54.810Z,,Dev-payment_options,,5a1660f3-a614-49ad-beab-e793f61c2e50,2019-06-25T19:16:29.520Z,json,16,rules-global,,,unknown,ba32a325-af64-4ac5-82fc-b8f17411c2ed,,
0,banner,"{ ""payment_options"":[ { ""id"": "".two-year-price""\, ""payment_option_id"": ""twoyear""\, ""name"": ""2-Year Contract"" }\, { ""id"": "".full-retail-price""\, ""payment_option_id"": ""retail""\, ""name"": ""Retail Price"" }\, { ""id"": "".prepaid-price""\, ""payment_option_id"": ""prepaid""\, ""name"": ""Prepaid Price"" }]}",CONFIG: InternetDevices Payment Options,application/json,876154d9-f821-4d76-b481-ed8bf7c38c6f,response_value,true,keywords,Banner,internet-devices/,1,"null\,unknown#0",2019-02-15T16:19:43.580Z,,Dev-payment_options,,4cb1cc80-1487-4799-9aaf-e67272d45630,2019-07-30T19:29:38.850Z,json,16,rules-global,,,unknown,d4d55799-93cb-45d5-b7b7-33af7edfd0a3,,
0,banner,"{ ""payment_options"":[ { ""id"": "".edge-monthly-price""\, ""payment_option_id"": ""monthly""\, ""name"": ""Monthly Payment"" }\, { ""id"": "".two-year-price""\, ""payment_option_id"": ""twoyear""\, ""name"": ""2-Year Contract"" }\, { ""id"": "".full-retail-price""\, ""payment_option_id"": ""retail""\, ""name"": ""Retail Price"" } ] }",CONFIG: Connected Devices Payment Options,application/json,876154d9-f821-4d76-b481-ed8bf7c38c6f,response_value,true,text,Banner,connected-devices/,1,"null\,unknown#0",2019-02-15T18:01:01.180Z,,Dev-payment_options,,093919f0-50b5-4780-9525-7c1bb68ccd41,2019-09-16T21:27:57.980Z,json,16,rules-global,,,unknown,4de78250-d872-4a62-b81e-ff6430131221,,
0,banner,"{ ""payment_options"":[ { ""id"": "".edge-monthly-price""\, ""payment_option_id"": ""monthly""\, ""name"": ""Monthly Payment"" }\, { ""id"": "".full-retail-price""\, ""payment_option_id"": ""retail""\, ""name"": ""Retail Price"" }\, { ""id"": "".prepaid-price""\, ""payment_option_id"": ""prepaid""\, ""name"": ""Prepaid Price"" }]}",CONFIG: Devices Payment Options,application/json,4c89cc1f-80b2-4277-8ce9-3c210a676f61,response_value,true,keywords,Banner,devices/,1,"null\,unknown#0",2019-02-15T18:04:52.520Z,,Dev-payment_options,,e732bc43-a082-40d0-967a-09e5030170e2,2019-04-15T14:50:45.830Z,json,16,rules-global,,,unknown,c4059405-f5bc-4613-8544-20a6930d6a6e,,
0,banner,"{ ""payment_options"":[ { ""id"": "".two-year-price""\, ""payment_option_id"": ""twoyear""\, ""name"": ""2-Year Contract"" }\, { ""id"": "".full-retail-price""\, ""payment_option_id"": ""retail""\, ""name"": ""Retail Price"" } ] }",CONFIG: HomeOfficeSolutions Payment Options,application/json,4c89cc1f-80b2-4277-8ce9-3c210a676f61,response_value,true,keywords,Banner,home-office-solutions/,1,"null\,unknown#0",2019-02-15T18:11:15.500Z,,Dev-payment_options,,625223cd-4dc9-4ec6-ba33-631319613705,2019-04-15T14:50:57.630Z,json,16,rules-global,,,unknown,9dcd4a94-6930-442d-b8c4-04a507a0188b,,
0,banner,"{   ""page_config"": {     ""show_oos"": ""true""\,    ""page_title"":""All Basic-phones""\,	 ""default_sort"": ""featured""\,     ""default_payment_option"": ""monthly""   } }",CONFIG: BasicPhones Page config,application/json,4c89cc1f-80b2-4277-8ce9-3c210a676f61,response_value,true,keywords,Banner,basic-phones/,1,"null\,unknown#0",2019-02-15T19:08:36.680Z,,Dev-page_config,,7894e41b-82e9-43ab-bb6d-cb2b5ea1a689,2019-04-15T14:51:18.030Z,json,16,rules-global,,,unknown,486385b3-386a-4541-88f3-26bf22127fd8,,
