"_lw_parser_record_number",keys,values,description,_lw_parser_content_type,_lw_parser_id,type,enabled,matching,search_terms,display_type,_lw_parser_absolute_resource_name,_lw_parser_parsing_depth,createdAt,effective_range,score,ruleName,param_keys,id,updatedAt,_lw_parser_type,_lw_parser_max_parsing_depth,groups,param_values,field_name,_lw_parser_resource_name,_lw_parser_diagnostic_id,param_policies,field_values
0,banner,"<a href=""//www.verizonwireless.com/accessories/kate-spade/?intcmp=INT-SEA-NON-CS-kate_spade-092214-DE-SR-LP-T"" campaign-code=""intcmp=INT-SEA-NON-CS-kate_spade-092214-DE-SR-LP-T"" search-banner=""kate spade""><img src='//ss7.vzw.com/is/image/VerizonWireless/search-banner-katespade-d-110615?$jpeg100$&scl=1' alt='Kate Spade New York' title='Kate Spade New York' style='width:100%'></a>",kate spade,application/json,876154d9-f821-4d76-b481-ed8bf7c38c6f,response_value,false,keywords,spade,Banner,"null,unknown#0",1,2018-09-24T22:56:08.900Z,,1.0,spade-desktop,,7ba2e407-b157-4d3a-8cf6-c4313ecb539c,2018-12-03T21:26:30.990Z,json,16,rules-global,,,unknown,03a72c03-2906-43e4-b97d-18da5c77a10d,,
0,banner,"<a href=""//www.verizonwireless.com/rewards/learn?intcmp=INT-SEA-NON-RE-smart_rewards-031115-DE-SR-LP-T"" campaign-code=""intcmp=INT-SEA-NON-RE-smart_rewards-031115-DE-SR-LP-T"" search-banner=""smart rewards""><img src='https://ss7.vzw.com/is/image/VerizonWireless/search-rewards-082615?$jpeg80$&scl=1' alt='Introducing Verizon Smart Rewards' title='Introducing Verizon Smart Rewards' style='width:100%'></a>",smart rewards,application/json,876154d9-f821-4d76-b481-ed8bf7c38c6f,response_value,true,keywords,rewards,Banner,"null,unknown#0",1,2018-09-24T22:56:08.900Z,,1.0,rewards-desktop,,e2712ec1-9599-4c2b-b253-6e15a6b61884,2018-12-06T15:51:16.670Z,json,16,rules-global,,,unknown,7ce923e3-057c-45ec-bd00-da32ffc7d58a,,
0,banner,"<a href=""https://my.verizonwireless.com/vzw/nos/safeguards/SafeguardProductDetails.action?productName=familybase&intcmp=INT-SEA-NON-CS-family_base_product-092314-DE-SR-PP-T"" campaign-code=""&intcmp=INT-SEA-NON-CS-family_base_product-092314-DE-SR-PP-T"" search-banner=""family base product""><img src='https://ss7.vzw.com/is/image/VerizonWireless/d-search-banner-family-base?$jpeg80$&scl=1' alt='VERIZON FAMILYBASE: FamilyBase provides you with insight and control over how,when and with whom your kids communicate. Enjoy your first 3 month free.' title='VERIZON FAMILYBASE: FamilyBase provides you with insight and control over how,when and with whom your kids communicate. Enjoy your first 3 month free.' style='width:100%'></a>",family base product,application/json,876154d9-f821-4d76-b481-ed8bf7c38c6f,response_value,true,keywords,familybase,Banner,"null,unknown#0",1,2018-09-24T22:56:08.900Z,,1.0,familybase-desktop,,ad05f736-4cab-474a-a38b-20d15a481633,2018-12-07T16:51:54.720Z,json,16,rules-global,,,unknown,c70dfb16-fbdf-4a71-9912-07631de0b5f3,,
0,redirect,https://www.verizonwireless.com/stores/?intcmp=INT-SITESEARCH-REDIRECT-STORE,,application/json,876154d9-f821-4d76-b481-ed8bf7c38c6f,response_value,true,keywords,"store locator,store location,store,store near me",Redirect,"null,unknown#0",1,2018-09-24T22:56:08.900Z,,1.0,store locator,,0b39a9cd-061e-406f-9e53-b088355f9aa2,2019-03-22T17:44:58.660Z,json,16,rules-global,,,unknown,7fbb1d5c-4e13-420e-bdbb-7244b9f960fd,,
0,banner,"<a href=""https://my.verizonwireless.com/vzw/nos/safeguards/SafeguardProductDetails.action?productName=familybase&intcmp=INT-SEA-NON-CS-family_base_product-092314-DE-SR-PP-T"" campaign-code=""&intcmp=INT-SEA-NON-CS-family_base_product-092314-DE-SR-PP-T"" search-banner=""family base product""><img src='https://ss7.vzw.com/is/image/VerizonWireless/d-search-banner-family-base?$jpeg80$&scl=1' alt='VERIZON FAMILYBASE: FamilyBase provides you with insight and control over how,when and with whom your kids communicate. Enjoy your first 3 month free.' title='VERIZON FAMILYBASE: FamilyBase provides you with insight and control over how,when and with whom your kids communicate. Enjoy your first 3 month free.' style='width:100%'></a>",family base product,application/json,876154d9-f821-4d76-b481-ed8bf7c38c6f,response_value,true,keywords,kids texting,Banner,"null,unknown#0",1,2018-09-24T22:56:08.900Z,,1.0,kids-texting-desktop,,21f89a61-e5ae-4907-b9aa-c83a8d776163,2019-03-27T17:56:02.800Z,json,16,rules-global,,,unknown,857cc5af-13a9-410a-8fac-36aa60e7dcdb,,
0,banner,"<a href=""//www.verizonwireless.com/rewards/learn?intcmp=INT-SEA-NON-RE-smart_rewards-031115-DE-SR-LP-T"" campaign-code=""intcmp=INT-SEA-NON-RE-smart_rewards-031115-DE-SR-LP-T"" search-banner=""smart rewards""><img src='https://ss7.vzw.com/is/image/VerizonWireless/search-rewards-082615?$jpeg80$&scl=1' alt='Introducing Verizon Smart Rewards' title='Introducing Verizon Smart Rewards' style='width:100%'></a>",smart rewards,application/json,876154d9-f821-4d76-b481-ed8bf7c38c6f,response_value,false,keywords,reward,Banner,"null,unknown#0",1,2018-09-24T22:56:08.900Z,[* TO 2019-04-29T21:59:00Z],1.0,reward-desktop,,57ecaea7-66a4-41fb-a419-767ba0b368ee,2019-05-01T00:50:48.940Z,json,16,rules-global,,,unknown,e83a4cf0-1fb8-4bb6-837c-a2b62e4b26db,,
0,banner,<a href='https://www.verizonwireless.com/rewards/verizon-up/?intcmp=INT-SEA-NON-RE-verizon-up-080817-DE-SR-LP-T' campaign-code='intcmp=INT-SEA-NON-RE-verizon-up-080817-DE-SR-LP-T' search-banner='Verizon Up'><img src='https://ss7.vzw.com/is/image/VerizonWireless/search-banner-vzup-d-080117?scl=1' alt='' title='' style='width:100%'></a>,Verizon Up,application/json,876154d9-f821-4d76-b481-ed8bf7c38c6f,response_value,true,keywords,"reward, loyalty, redeem, up, verizon up, awards, award, points, smartrewards, verizonup, rewards,smart rewards",Banner,"null,unknown#0",1,2018-09-24T22:56:08.900Z,[* TO 2019-04-30T21:00:00Z],1.0,reward-desktop,,2d2b3690-6056-4580-9040-50b3cd3e2a15,2019-05-01T01:08:40.330Z,json,16,rules-global,,,unknown,daa1eb78-0c09-4c07-861e-cc98401fb966,,
0,,,Custom rule to boost Accessories,application/json,876154d9-f821-4d76-b481-ed8bf7c38c6f,set_params,false,text,"buds,case,adidas,adopted,aftershokz,altec-lansing,asus,b-and-o-play,beats,belkin,blueant,blueflame,blueparrott,body-glove,boostcase,bose,bracketron,bragi,braven,brydge,burton,canary,case-mate,casio,chamberlain,cradlepoint,crayola,de-world,dji,eb-brands,everwin,fitbit,fossil,frontier-pursuits,garmin,gemalto,geopalz,global-payments,gopro,granite,griffin,harman-kardon,hmdx,honeywell,house-of-harlow,hp,ibolt,ifrogz,ihip,ihome,incase,incipio,ion,iplanet,iring,jabra,jack-spade,jawbone,jaybird,jbl,jlab,kate-spade-new-york,kensington,kiddesigns,kidzsafe,kwikset,kyocera,leapfrog,lifeprint,lifeproof,logitech,lumee,micani,michael-kors,microsoft,milicom,milk-and-honey,misfit,moga,monster,moov,mophie,mycharge,nest,netgear,noke,nokia,novatel,olloclip,orbotix,otterbox,panasonic,parrot,pcd-utstarcom-audiovox,pelican,philips,plantronics,polaroid,popsockets,power-bright,ram-mounts,rebecca-minkoff,rim,ring,samsin,sandisk,savox,sengled,skullcandy,sling-media,sol-republic,sonim,sonix,sony,speck,square,steel-series,swarovski,tech21,technocel,tile,trina-turk,tumi,tylt,ultimate-ears,uncommon,under-armour,urbanear,iva-movil-by-jennifer-lopez,vtech,wacom,wicked-audio,withings,wtl,xentris,yealink,yurbuds,zagg,zepp,zero-gravity,headset,bluetooth",Set Params,"null,unknown#0",1,2018-09-24T22:56:08.900Z,,1.0,Boost Accessories,"bq,bq,bq",65b483f4-b95c-4724-a901-49fc53897906,2019-05-11T22:04:56.670Z,json,16,rules-global,"recordContentType:(""Accessories"")^250,recordIntent:(""Shop"")^10,recordContentType:(""Devices"")^10",,unknown,87916974-41fb-4b79-b77c-dd503c657634,"append,append,append",
0,,,Custom rule to identify help intent,application/json,876154d9-f821-4d76-b481-ed8bf7c38c6f,set_params,false,text,"how,help,password,why,terminate,block, issue,problem,doesn't,install,configure,upgrade,unlock,unresponsive,transfer,service,contact,number,unlimited,verizonup,unlimited,unlimited",Set Params,"null,unknown#0",1,2018-09-24T22:56:08.900Z,,1.0,Help-Intent Based Query,bq,4297279c-fe7f-4cce-b687-082de3c52300,2019-05-12T14:36:16.460Z,json,16,rules-global,"recordIntent:(""Help"")^20",,unknown,500653a9-41de-45e8-ba41-f8de4699f566,append,
0,banner,"<a href=""//www.verizonwireless.com/b2c/nso/enterDeviceId.do?intcmp=INT-SEA-NON-ON-activation-062515-DE-SR-SU-T"" campaign-code=""intcmp=INT-SEA-NON-ON-activation-062515-DE-SR-SU-T"" search-banner=""activation""><img src='https://ss7.vzw.com/is/image/VerizonWireless/PHX-gw-search-activate-mobile?$defaultScaleJPG$' alt='Activate your device in a few simple steps - find out more.' title='Activate your device in a few simple steps - find out more.' style='width:100%'></a>",activation,application/json,876154d9-f821-4d76-b481-ed8bf7c38c6f,response_value,false,keywords,byod,Banner,"null,unknown#0",1,2018-09-24T22:56:08.900Z,,1.0,byod-desktop,,bc9e16c5-75b3-471e-a8e9-2d89e6eafeb2,2019-08-12T20:27:27.930Z,json,16,rules-global,,,unknown,5208fd65-1619-44b4-b0f1-5f37c9d27fef,,
