description,deployed,phrase_count,doc_type,source,type,createdOn,enabled,matching,rollup,display_type,search_terms,effective_range,word_count,review,param_keys,banner_url,id,use_qec,confidence,groups,updatedOn,priority,param_values,field_name,_version_,sourceType,param_policies,name,surface_form,redirect_url,field_values
kate spade,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,spade,,,approved,,"<a href=""//www.verizonwireless.com/accessories/kate-spade/?intcmp=INT-SEA-NON-CS-kate_spade-092214-DE-SR-LP-T"" campaign-code=""intcmp=INT-SEA-NON-CS-kate_spade-092214-DE-SR-LP-T"" search-banner=""kate spade""><img src='//ss7.vzw.com/is/image/VerizonWireless/search-banner-katespade-d-110615?$jpeg100$&scl=1' alt='Kate Spade New York' title='Kate Spade New York' style='width:100%'></a>",7ba2e407-b157-4d3a-8cf6-c4313ecb539c,,,rules-global,2018-12-03T21:26:30.990Z,1,,,1654098779810299904,,,spade-desktop,,,
smart rewards,true,,rule,,banner,2018-09-24T22:56:08.900Z,true,keywords,Banner,Banner,rewards,,,approved,,"<a href=""//www.verizonwireless.com/rewards/learn?intcmp=INT-SEA-NON-RE-smart_rewards-031115-DE-SR-LP-T"" campaign-code=""intcmp=INT-SEA-NON-RE-smart_rewards-031115-DE-SR-LP-T"" search-banner=""smart rewards""><img src='https://ss7.vzw.com/is/image/VerizonWireless/search-rewards-082615?$jpeg80$&scl=1' alt='Introducing Verizon Smart Rewards' title='Introducing Verizon Smart Rewards' style='width:100%'></a>",e2712ec1-9599-4c2b-b253-6e15a6b61884,,,rules-global,2018-12-06T15:51:16.670Z,1,,,1654098779811348480,,,rewards-desktop,,,
family base product,true,,rule,,banner,2018-09-24T22:56:08.900Z,true,keywords,Banner,Banner,familybase,,,approved,,"<a href=""https://my.verizonwireless.com/vzw/nos/safeguards/SafeguardProductDetails.action?productName=familybase&intcmp=INT-SEA-NON-CS-family_base_product-092314-DE-SR-PP-T"" campaign-code=""&intcmp=INT-SEA-NON-CS-family_base_product-092314-DE-SR-PP-T"" search-banner=""family base product""><img src='https://ss7.vzw.com/is/image/VerizonWireless/d-search-banner-family-base?$jpeg80$&scl=1' alt='VERIZON FAMILYBASE: FamilyBase provides you with insight and control over how,when and with whom your kids communicate. Enjoy your first 3 month free.' title='VERIZON FAMILYBASE: FamilyBase provides you with insight and control over how,when and with whom your kids communicate. Enjoy your first 3 month free.' style='width:100%'></a>",ad05f736-4cab-474a-a38b-20d15a481633,,,rules-global,2018-12-07T16:51:54.720Z,1,,,1654098779811348481,,,familybase-desktop,,,
"",true,,rule,,redirect,2018-09-24T22:56:08.900Z,true,keywords,Redirect,Redirect,"store locator,store location,store,store near me",,,approved,,,0b39a9cd-061e-406f-9e53-b088355f9aa2,,,rules-global,2019-03-22T17:44:58.660Z,1,,,1654098779811348482,,,store locator,,https://www.verizonwireless.com/stores/?intcmp=INT-SITESEARCH-REDIRECT-STORE,
family base product,true,,rule,,banner,2018-09-24T22:56:08.900Z,true,keywords,Banner,Banner,kids texting,,,approved,,"<a href=""https://my.verizonwireless.com/vzw/nos/safeguards/SafeguardProductDetails.action?productName=familybase&intcmp=INT-SEA-NON-CS-family_base_product-092314-DE-SR-PP-T"" campaign-code=""&intcmp=INT-SEA-NON-CS-family_base_product-092314-DE-SR-PP-T"" search-banner=""family base product""><img src='https://ss7.vzw.com/is/image/VerizonWireless/d-search-banner-family-base?$jpeg80$&scl=1' alt='VERIZON FAMILYBASE: FamilyBase provides you with insight and control over how,when and with whom your kids communicate. Enjoy your first 3 month free.' title='VERIZON FAMILYBASE: FamilyBase provides you with insight and control over how,when and with whom your kids communicate. Enjoy your first 3 month free.' style='width:100%'></a>",21f89a61-e5ae-4907-b9aa-c83a8d776163,,,rules-global,2019-03-27T17:56:02.800Z,1,,,1654098779811348483,,,kids-texting-desktop,,,
smart rewards,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,reward,[* TO 2019-04-29T21:59:00Z],,approved,,"<a href=""//www.verizonwireless.com/rewards/learn?intcmp=INT-SEA-NON-RE-smart_rewards-031115-DE-SR-LP-T"" campaign-code=""intcmp=INT-SEA-NON-RE-smart_rewards-031115-DE-SR-LP-T"" search-banner=""smart rewards""><img src='https://ss7.vzw.com/is/image/VerizonWireless/search-rewards-082615?$jpeg80$&scl=1' alt='Introducing Verizon Smart Rewards' title='Introducing Verizon Smart Rewards' style='width:100%'></a>",57ecaea7-66a4-41fb-a419-767ba0b368ee,,,rules-global,2019-05-01T00:50:48.940Z,1,,,1654098779812397056,,,reward-desktop,,,
Verizon Up,true,,rule,,banner,2018-09-24T22:56:08.900Z,true,keywords,Banner,Banner,"reward,loyalty,redeem,up,verizon up,awards,award,points,smartrewards,verizonup,rewards,smart rewards",[* TO 2019-04-30T21:00:00Z],,approved,,<a href='https://www.verizonwireless.com/rewards/verizon-up/?intcmp=INT-SEA-NON-RE-verizon-up-080817-DE-SR-LP-T' campaign-code='intcmp=INT-SEA-NON-RE-verizon-up-080817-DE-SR-LP-T' search-banner='Verizon Up'><img src='https://ss7.vzw.com/is/image/VerizonWireless/search-banner-vzup-d-080117?scl=1' alt='' title='' style='width:100%'></a>,2d2b3690-6056-4580-9040-50b3cd3e2a15,,,rules-global,2019-05-01T01:08:40.330Z,1,,,1654098779813445632,,,reward-desktop,,,
Custom rule to boost Accessories,true,,rule,,set_params,2018-09-24T22:56:08.900Z,false,text,Set Params,Set Params,"buds,case,adidas,adopted,aftershokz,altec-lansing,asus,b-and-o-play,beats,belkin,blueant,blueflame,blueparrott,body-glove,boostcase,bose,bracketron,bragi,braven,brydge,burton,canary,case-mate,casio,chamberlain,cradlepoint,crayola,de-world,dji,eb-brands,everwin,fitbit,fossil,frontier-pursuits,garmin,gemalto,geopalz,global-payments,gopro,granite,griffin,harman-kardon,hmdx,honeywell,house-of-harlow,hp,ibolt,ifrogz,ihip,ihome,incase,incipio,ion,iplanet,iring,jabra,jack-spade,jawbone,jaybird,jbl,jlab,kate-spade-new-york,kensington,kiddesigns,kidzsafe,kwikset,kyocera,leapfrog,lifeprint,lifeproof,logitech,lumee,micani,michael-kors,microsoft,milicom,milk-and-honey,misfit,moga,monster,moov,mophie,mycharge,nest,netgear,noke,nokia,novatel,olloclip,orbotix,otterbox,panasonic,parrot,pcd-utstarcom-audiovox,pelican,philips,plantronics,polaroid,popsockets,power-bright,ram-mounts,rebecca-minkoff,rim,ring,samsin,sandisk,savox,sengled,skullcandy,sling-media,sol-republic,sonim,sonix,sony,speck,square,steel-series,swarovski,tech21,technocel,tile,trina-turk,tumi,tylt,ultimate-ears,uncommon,under-armour,urbanear,iva-movil-by-jennifer-lopez,vtech,wacom,wicked-audio,withings,wtl,xentris,yealink,yurbuds,zagg,zepp,zero-gravity,headset,bluetooth",,,approved,"bq,bq,bq",,65b483f4-b95c-4724-a901-49fc53897906,,,rules-global,2019-05-11T22:04:56.670Z,1,"recordContentType:(""Accessories"")^250,recordIntent:(""Shop"")^10,recordContentType:(""Devices"")^10",,1654098779813445633,,"append,append,append",Boost Accessories,,,
Custom rule to identify help intent,true,,rule,,set_params,2018-09-24T22:56:08.900Z,false,text,Set Params,Set Params,"how,help,password,why,terminate,block,issue,problem,doesn't,install,configure,upgrade,unlock,unresponsive,transfer,service,contact,number,unlimited,verizonup,unlimited,unlimited",,,approved,bq,,4297279c-fe7f-4cce-b687-082de3c52300,,,rules-global,2019-05-12T14:36:16.460Z,1,"recordIntent:(""Help"")^20",,1654098779814494208,,append,Help-Intent Based Query,,,
activation,true,,rule,,banner,2018-09-24T22:56:08.900Z,false,keywords,Banner,Banner,byod,,,approved,,"<a href=""//www.verizonwireless.com/b2c/nso/enterDeviceId.do?intcmp=INT-SEA-NON-ON-activation-062515-DE-SR-SU-T"" campaign-code=""intcmp=INT-SEA-NON-ON-activation-062515-DE-SR-SU-T"" search-banner=""activation""><img src='https://ss7.vzw.com/is/image/VerizonWireless/PHX-gw-search-activate-mobile?$defaultScaleJPG$' alt='Activate your device in a few simple steps - find out more.' title='Activate your device in a few simple steps - find out more.' style='width:100%'></a>",bc9e16c5-75b3-471e-a8e9-2d89e6eafeb2,,,rules-global,2019-08-12T20:27:27.930Z,1,,,1654098779815542784,,,byod-desktop,,,
